Interaction_ID,Customer_ID,Product_ID,Interaction_Type,Timestamp,Session_ID,Search_Keyword,Category,Device,Time_Spent,Product_Viewed,Added_To_Wishlist,Added_To_Cart,Purchased,Rating_Given
INT_0000001,CUST_02405,PROD_00119,Search,2026-03-22 08:06:35,SESS_829560,ultrabooks,Laptops,Tablet,44,0,0,0,0,0
INT_0000002,CUST_02405,PROD_00125,View,2026-03-22 08:07:13,SESS_829560,,Laptops,Tablet,163,1,0,0,0,0
INT_0000003,CUST_02405,PROD_00102,View,2026-03-22 08:08:28,SESS_829560,,Laptops,Tablet,199,1,0,0,0,0
INT_0000004,CUST_02405,PROD_00102,Wishlist,2026-03-22 08:08:28,SESS_829560,,Laptops,Tablet,20,1,1,0,0,0
INT_0000005,CUST_00771,PROD_00593,Search,2026-08-15 04:15:35,SESS_782466,personal,Personal Care,Desktop,28,0,0,0,0,0
INT_0000006,CUST_00771,PROD_00628,View,2026-08-15 04:16:54,SESS_782466,,Personal Care,Desktop,129,1,0,0,0,0
INT_0000007,CUST_00771,PROD_00619,View,2026-08-15 04:17:58,SESS_782466,,Personal Care,Desktop,50,1,0,0,0,0
INT_0000008,CUST_00771,PROD_00619,Cart,2026-08-15 04:17:58,SESS_782466,,Personal Care,Desktop,57,1,0,1,0,0
INT_0000009,CUST_02894,PROD_00396,Search,2026-08-04 20:20:35,SESS_420476,sports,Sports,Mobile Web,21,0,0,0,0,0
INT_0000010,CUST_02894,PROD_00382,View,2026-08-04 20:22:07,SESS_420476,,Sports,Mobile Web,67,1,0,0,0,0
INT_0000011,CUST_02894,PROD_00405,View,2026-08-04 20:23:55,SESS_420476,,Sports,Mobile Web,23,1,0,0,0,0
INT_0000012,CUST_02894,PROD_00405,Wishlist,2026-08-04 20:23:55,SESS_420476,,Sports,Mobile Web,22,1,1,0,0,0
INT_0000013,CUST_02894,PROD_00405,Cart,2026-08-04 20:23:55,SESS_420476,,Sports,Mobile Web,59,1,1,1,0,0
INT_0000014,CUST_02894,PROD_00405,Purchase,2026-08-04 20:23:55,SESS_420476,,Sports,Mobile Web,254,1,1,1,1,0
INT_0000015,CUST_01109,PROD_00100,Search,2026-03-20 17:29:35,SESS_801918,student laptops,Laptops,Mobile Web,38,0,0,0,0,0
INT_0000016,CUST_01109,PROD_00123,View,2026-03-20 17:31:23,SESS_801918,,Laptops,Mobile Web,132,1,0,0,0,0
INT_0000017,CUST_00373,PROD_00111,Search,2026-04-29 04:00:35,SESS_800771,student laptops,Laptops,Mobile App,32,0,0,0,0,0
INT_0000018,CUST_00373,PROD_00124,View,2026-04-29 04:03:32,SESS_800771,,Laptops,Mobile App,92,1,0,0,0,0
INT_0000019,CUST_00373,PROD_00124,Wishlist,2026-04-29 04:03:32,SESS_800771,,Laptops,Mobile App,20,1,1,0,0,0
