Rating_ID,Customer_ID,Product_ID,Rating,Review_Text,Rating_Date
RAT_000001,CUST_00884,PROD_00016,3,Okay for the price point.,2026-03-19 08:57:23
RAT_000002,CUST_01261,PROD_00468,3,Okay for the price point.,2026-05-30 15:57:06
RAT_000003,CUST_01571,PROD_00486,5,Top notch performance and build.,2026-04-08 18:03:55
RAT_000004,CUST_00711,PROD_00145,4,"Good product, very satisfied with the purchase.",2026-06-21 13:18:47
RAT_000005,CUST_01358,PROD_00148,4,Value for money. Delivery was fast.,2026-03-29 05:13:52
RAT_000006,CUST_01583,PROD_00211,4,"Works as described, pleased with quality.",2026-07-10 11:15:26
RAT_000007,CUST_01995,PROD_00232,4,"Works as described, pleased with quality.",2026-07-12 08:28:52
RAT_000008,CUST_01006,PROD_00410,3,Decent purchase. Average experience.,2026-04-20 06:39:40
RAT_000009,CUST_00592,PROD_00020,3,Decent purchase. Average experience.,2026-04-23 20:30:48
RAT_000010,CUST_01618,PROD_00035,4,"Good product, very satisfied with the purchase.",2026-05-14 17:00:05
RAT_000011,CUST_00184,PROD_00353,3,Okay for the price point.,2026-03-22 13:03:21
RAT_000012,CUST_00184,PROD_00366,4,"Works as described, pleased with quality.",2026-03-23 13:08:48
RAT_000013,CUST_02538,PROD_00105,3,Okay for the price point.,2026-03-17 16:17:05
RAT_000014,CUST_02347,PROD_00490,3,Okay for the price point.,2026-05-11 13:43:17
RAT_000015,CUST_02049,PROD_00333,4,"Works as described, pleased with quality.",2026-04-03 02:51:53
RAT_000016,CUST_01118,PROD_00199,4,"Good product, very satisfied with the purchase.",2026-06-28 13:02:52
RAT_000017,CUST_02783,PROD_00548,4,Value for money. Delivery was fast.,2026-07-25 10:49:09
RAT_000018,CUST_02987,PROD_00134,5,"Exceptional quality, surpassed expectations!",2026-07-08 16:20:55
RAT_000019,CUST_02702,PROD_00020,3,Decent purchase. Average experience.,2026-06-11 19:46:53
RAT_000020,CUST_01697,PROD_00622,5,Top notch performance and build.,2026-07-05 17:01:29
RAT_000021,CUST_00150,PROD_00190,4,"Works as described, pleased with quality.",2026-09-05 12:46:59
RAT_000022,CUST_02391,PROD_00166,5,"Exceptional quality, surpassed expectations!",2026-04-04 04:48:07
RAT_000023,CUST_01538,PROD_00593,4,Value for money. Delivery was fast.,2026-03-19 19:13:30
RAT_000024,CUST_00271,PROD_00205,4,Value for money. Delivery was fast.,2026-05-14 03:45:03
RAT_000025,CUST_01868,PROD_00616,4,"Good product, very satisfied with the purchase.",2026-04-27 04:04:27
RAT_000026,CUST_02906,PROD_00520,4,Value for money. Delivery was fast.,2026-08-14 04:11:28
RAT_000027,CUST_02186,PROD_00390,3,Okay for the price point.,2026-04-15 02:32:04
RAT_000028,CUST_02701,PROD_00327,3,Okay for the price point.,2026-08-15 11:37:59
RAT_000029,CUST_01927,PROD_00231,4,Value for money. Delivery was fast.,2026-04-17 08:52:09
RAT_000030,CUST_00059,PROD_00084,4,Value for money. Delivery was fast.,2026-09-04 03:37:11
RAT_000031,CUST_01382,PROD_00005,4,"Works as described, pleased with quality.",2026-08-17 02:57:32
RAT_000032,CUST_00919,PROD_00453,3,Okay for the price point.,2026-08-20 13:09:20
RAT_000033,CUST_01928,PROD_00144,4,"Works as described, pleased with quality.",2026-07-03 07:19:34
RAT_000034,CUST_00363,PROD_00246,3,Decent purchase. Average experience.,2026-03-30 10:29:27
RAT_000035,CUST_02468,PROD_00234,4,"Good product, very satisfied with the purchase.",2026-04-23 20:34:13
RAT_000036,CUST_00248,PROD_00268,3,Meets basic expectations.,2026-05-16 17:50:24
RAT_000037,CUST_00362,PROD_00087,3,Meets basic expectations.,2026-05-30 10:50:48
RAT_000038,CUST_00380,PROD_00451,4,"Works as described, pleased with quality.",2026-08-10 13:24:53
RAT_000039,CUST_01998,PROD_00132,3,Meets basic expectations.,2026-05-31 14:33:01
RAT_000040,CUST_00856,PROD_00347,4,Value for money. Delivery was fast.,2026-05-11 03:46:30
RAT_000041,CUST_00583,PROD_00020,3,Okay for the price point.,2026-04-10 15:33:05
RAT_000042,CUST_00836,PROD_00602,2,Could have been better. Material feels average.,2026-06-05 11:02:14
RAT_000043,CUST_02701,PROD_00071,4,Value for money. Delivery was fast.,2026-05-25 06:49:20
RAT_000044,CUST_00836,PROD_00626,4,Value for money. Delivery was fast.,2026-04-22 06:08:59
RAT_000045,CUST_02157,PROD_00015,4,Value for money. Delivery was fast.,2026-09-08 07:15:52
RAT_000046,CUST_00324,PROD_00139,4,"Works as described, pleased with quality.",2026-04-05 02:30:34
RAT_000047,CUST_00299,PROD_00429,3,Decent purchase. Average experience.,2026-04-22 17:46:07
RAT_000048,CUST_00690,PROD_00148,5,"Exceptional quality, surpassed expectations!",2026-08-07 01:53:21
RAT_000049,CUST_01979,PROD_00079,3,Meets basic expectations.,2026-04-14 07:24:52
RAT_000050,CUST_01445,PROD_00172,4,"Works as described, pleased with quality.",2026-07-12 17:37:04
RAT_000051,CUST_01982,PROD_00458,5,Absolutely loved this! Highly recommended.,2026-05-06 16:45:13
RAT_000052,CUST_00778,PROD_00058,4,Value for money. Delivery was fast.,2026-07-18 23:08:10
RAT_000053,CUST_01818,PROD_00608,4,Value for money. Delivery was fast.,2026-04-10 23:14:10
RAT_000054,CUST_02670,PROD_00135,4,Value for money. Delivery was fast.,2026-05-17 01:29:46
RAT_000055,CUST_00763,PROD_00511,3,Meets basic expectations.,2026-04-15 18:57:54
RAT_000056,CUST_00794,PROD_00255,4,"Good product, very satisfied with the purchase.",2026-09-10 21:08:24
RAT_000057,CUST_00794,PROD_00280,3,Decent purchase. Average experience.,2026-09-08 21:10:48
RAT_000058,CUST_01685,PROD_00442,4,"Good product, very satisfied with the purchase.",2026-09-01 12:35:52
RAT_000059,CUST_02807,PROD_00467,5,"Exceptional quality, surpassed expectations!",2026-05-09 17:08:50
RAT_000060,CUST_00266,PROD_00223,4,Value for money. Delivery was fast.,2026-06-28 00:00:45
RAT_000061,CUST_02571,PROD_00007,2,Could have been better. Material feels average.,2026-05-21 07:36:27
RAT_000062,CUST_01822,PROD_00592,4,"Good product, very satisfied with the purchase.",2026-06-27 10:47:07
RAT_000063,CUST_01284,PROD_00622,4,"Works as described, pleased with quality.",2026-08-07 14:45:11
RAT_000064,CUST_02685,PROD_00082,4,"Works as described, pleased with quality.",2026-05-12 05:49:11
RAT_000065,CUST_00045,PROD_00518,4,"Works as described, pleased with quality.",2026-08-11 17:53:16
RAT_000066,CUST_01860,PROD_00551,5,Top notch performance and build.,2026-05-13 03:41:48
RAT_000067,CUST_01504,PROD_00196,3,Okay for the price point.,2026-03-19 18:05:47
RAT_000068,CUST_01504,PROD_00195,3,Meets basic expectations.,2026-03-17 18:08:15
RAT_000069,CUST_01945,PROD_00277,4,"Good product, very satisfied with the purchase.",2026-07-09 09:21:59
RAT_000070,CUST_01038,PROD_00178,3,Decent purchase. Average experience.,2026-07-20 21:59:09
RAT_000071,CUST_02974,PROD_00180,4,"Works as described, pleased with quality.",2026-06-23 21:58:03
RAT_000072,CUST_02370,PROD_00005,3,Decent purchase. Average experience.,2026-06-15 14:33:44
RAT_000073,CUST_02370,PROD_00017,3,Decent purchase. Average experience.,2026-06-14 14:36:37
RAT_000074,CUST_01662,PROD_00081,3,Meets basic expectations.,2026-07-23 14:19:38
RAT_000075,CUST_02811,PROD_00063,4,Value for money. Delivery was fast.,2026-04-03 13:07:30
RAT_000076,CUST_01577,PROD_00135,3,Meets basic expectations.,2026-05-10 05:10:43
RAT_000077,CUST_00777,PROD_00201,4,"Works as described, pleased with quality.",2026-05-08 09:03:12
RAT_000078,CUST_02878,PROD_00143,3,Meets basic expectations.,2026-05-07 02:25:17
RAT_000079,CUST_01266,PROD_00600,4,"Good product, very satisfied with the purchase.",2026-09-05 10:22:33
RAT_000080,CUST_01509,PROD_00019,3,Decent purchase. Average experience.,2026-04-02 14:10:24
RAT_000081,CUST_00739,PROD_00139,4,"Good product, very satisfied with the purchase.",2026-04-06 13:22:32
RAT_000082,CUST_00882,PROD_00092,3,Meets basic expectations.,2026-05-06 19:24:53
RAT_000083,CUST_00954,PROD_00044,4,"Works as described, pleased with quality.",2026-07-07 03:42:00
RAT_000084,CUST_01814,PROD_00555,4,"Good product, very satisfied with the purchase.",2026-08-04 23:51:37
RAT_000085,CUST_00797,PROD_00264,3,Okay for the price point.,2026-08-27 14:42:43
RAT_000086,CUST_01969,PROD_00554,3,Meets basic expectations.,2026-04-07 00:05:20
RAT_000087,CUST_02626,PROD_00492,4,"Works as described, pleased with quality.",2026-05-20 22:28:09
RAT_000088,CUST_02723,PROD_00093,4,Value for money. Delivery was fast.,2026-09-03 03:42:44
RAT_000089,CUST_01378,PROD_00463,3,Meets basic expectations.,2026-09-06 13:40:32
RAT_000090,CUST_01378,PROD_00491,4,"Good product, very satisfied with the purchase.",2026-09-06 13:45:05
RAT_000091,CUST_02943,PROD_00436,4,"Good product, very satisfied with the purchase.",2026-05-10 05:16:19
RAT_000092,CUST_02943,PROD_00462,3,Decent purchase. Average experience.,2026-05-13 05:19:46
RAT_000093,CUST_00937,PROD_00137,4,"Good product, very satisfied with the purchase.",2026-04-10 08:12:28
RAT_000094,CUST_00896,PROD_00106,3,Meets basic expectations.,2026-03-21 11:49:29
RAT_000095,CUST_02678,PROD_00455,4,Value for money. Delivery was fast.,2026-07-13 20:01:29
RAT_000096,CUST_02751,PROD_00608,4,"Good product, very satisfied with the purchase.",2026-05-18 11:29:37
RAT_000097,CUST_00389,PROD_00455,5,"Exceptional quality, surpassed expectations!",2026-07-17 03:12:41
RAT_000098,CUST_00275,PROD_00141,3,Okay for the price point.,2026-07-12 01:57:08
RAT_000099,CUST_02887,PROD_00274,3,Meets basic expectations.,2026-08-21 09:55:00
RAT_000100,CUST_02887,PROD_00265,4,"Works as described, pleased with quality.",2026-08-19 10:00:38
RAT_000101,CUST_01762,PROD_00115,4,"Good product, very satisfied with the purchase.",2026-08-09 23:31:19
RAT_000102,CUST_00605,PROD_00112,3,Okay for the price point.,2026-09-12 03:43:08
RAT_000103,CUST_00605,PROD_00098,3,Okay for the price point.,2026-09-11 03:44:14
RAT_000104,CUST_01688,PROD_00341,2,Slightly disappointed with specs.,2026-06-16 11:02:39
RAT_000105,CUST_01708,PROD_00430,4,Value for money. Delivery was fast.,2026-07-04 19:18:39
RAT_000106,CUST_02285,PROD_00292,5,Absolutely loved this! Highly recommended.,2026-09-08 15:40:53
RAT_000107,CUST_00564,PROD_00409,4,"Works as described, pleased with quality.",2026-07-21 01:25:21
RAT_000108,CUST_00951,PROD_00101,4,Value for money. Delivery was fast.,2026-06-10 19:31:44
RAT_000109,CUST_01582,PROD_00083,2,Could have been better. Material feels average.,2026-05-29 19:25:54
RAT_000110,CUST_01695,PROD_00225,5,Top notch performance and build.,2026-05-21 19:52:31
RAT_000111,CUST_00305,PROD_00478,4,"Works as described, pleased with quality.",2026-07-28 11:07:27
RAT_000112,CUST_00305,PROD_00481,3,Okay for the price point.,2026-07-30 11:09:46
RAT_000113,CUST_02160,PROD_00310,3,Meets basic expectations.,2026-05-19 08:24:19
RAT_000114,CUST_00788,PROD_00117,4,Value for money. Delivery was fast.,2026-04-30 05:54:17
RAT_000115,CUST_00788,PROD_00112,3,Decent purchase. Average experience.,2026-04-29 05:58:09
RAT_000116,CUST_02661,PROD_00135,5,Top notch performance and build.,2026-07-17 20:13:16
RAT_000117,CUST_01631,PROD_00235,4,"Good product, very satisfied with the purchase.",2026-04-19 15:03:51
RAT_000118,CUST_00491,PROD_00480,5,Absolutely loved this! Highly recommended.,2026-03-29 11:04:50
RAT_000119,CUST_00788,PROD_00481,3,Decent purchase. Average experience.,2026-04-11 05:15:08
RAT_000120,CUST_00926,PROD_00626,2,Could have been better. Material feels average.,2026-08-30 00:37:54
RAT_000121,CUST_02104,PROD_00309,4,Value for money. Delivery was fast.,2026-05-19 21:17:57
RAT_000122,CUST_01099,PROD_00154,4,Value for money. Delivery was fast.,2026-08-31 16:37:50
RAT_000123,CUST_01570,PROD_00351,4,"Works as described, pleased with quality.",2026-04-19 11:30:47
RAT_000124,CUST_02612,PROD_00306,4,Value for money. Delivery was fast.,2026-05-29 10:55:12
RAT_000125,CUST_02612,PROD_00311,3,Okay for the price point.,2026-05-29 10:56:02
RAT_000126,CUST_02532,PROD_00292,5,"Exceptional quality, surpassed expectations!",2026-03-22 06:43:42
RAT_000127,CUST_01465,PROD_00009,5,Absolutely loved this! Highly recommended.,2026-09-11 17:32:57
RAT_000128,CUST_00976,PROD_00519,4,Value for money. Delivery was fast.,2026-05-28 05:17:41
RAT_000129,CUST_02057,PROD_00264,3,Meets basic expectations.,2026-07-06 03:22:49
RAT_000130,CUST_00010,PROD_00521,4,"Works as described, pleased with quality.",2026-06-16 03:55:28
RAT_000131,CUST_02442,PROD_00522,4,"Works as described, pleased with quality.",2026-08-24 05:53:28
RAT_000132,CUST_02442,PROD_00539,5,"Exceptional quality, surpassed expectations!",2026-08-23 05:55:56
RAT_000133,CUST_01381,PROD_00046,3,Meets basic expectations.,2026-04-10 10:14:11
RAT_000134,CUST_02230,PROD_00336,5,"Exceptional quality, surpassed expectations!",2026-07-14 22:52:09
RAT_000135,CUST_01256,PROD_00332,4,"Works as described, pleased with quality.",2026-05-18 03:48:35
RAT_000136,CUST_02758,PROD_00212,4,Value for money. Delivery was fast.,2026-07-15 07:02:00
RAT_000137,CUST_02044,PROD_00005,4,Value for money. Delivery was fast.,2026-08-13 08:26:20
RAT_000138,CUST_00023,PROD_00034,3,Meets basic expectations.,2026-04-22 10:05:33
RAT_000139,CUST_01602,PROD_00237,3,Meets basic expectations.,2026-07-30 19:39:08
RAT_000140,CUST_00190,PROD_00007,4,Value for money. Delivery was fast.,2026-09-08 08:59:43
RAT_000141,CUST_01730,PROD_00309,4,"Works as described, pleased with quality.",2026-05-29 08:31:00
RAT_000142,CUST_01805,PROD_00529,4,"Works as described, pleased with quality.",2026-05-31 09:59:15
RAT_000143,CUST_00832,PROD_00289,4,Value for money. Delivery was fast.,2026-08-05 06:23:04
RAT_000144,CUST_00406,PROD_00145,4,"Works as described, pleased with quality.",2026-07-15 17:57:02
RAT_000145,CUST_00005,PROD_00294,5,"Exceptional quality, surpassed expectations!",2026-03-31 05:56:09
RAT_000146,CUST_01883,PROD_00491,5,Absolutely loved this! Highly recommended.,2026-04-17 16:33:31
RAT_000147,CUST_02307,PROD_00491,2,Could have been better. Material feels average.,2026-07-17 03:02:31
RAT_000148,CUST_01505,PROD_00489,4,"Good product, very satisfied with the purchase.",2026-08-07 19:30:02
RAT_000149,CUST_02409,PROD_00196,3,Decent purchase. Average experience.,2026-07-21 00:56:41
RAT_000150,CUST_02024,PROD_00170,4,"Works as described, pleased with quality.",2026-04-26 23:45:00
RAT_000151,CUST_01334,PROD_00528,4,"Good product, very satisfied with the purchase.",2026-06-21 22:53:24
RAT_000152,CUST_00614,PROD_00604,5,Absolutely loved this! Highly recommended.,2026-05-10 08:04:58
RAT_000153,CUST_00460,PROD_00487,3,Decent purchase. Average experience.,2026-06-17 17:29:06
RAT_000154,CUST_02475,PROD_00547,4,"Good product, very satisfied with the purchase.",2026-05-29 00:16:35
RAT_000155,CUST_00209,PROD_00265,4,"Works as described, pleased with quality.",2026-04-01 21:32:28
RAT_000156,CUST_00209,PROD_00273,3,Meets basic expectations.,2026-04-01 21:34:48
