Product_ID,Product_Name,Category,Subcategory,Brand,Price,Discount,Final_Price,Rating,Review_Count,Stock,Popularity_Score,Product_Description,Product_Tags,Age_Group,Gender_Target,Color,Size,Created_Date,Image_URL,Status
PROD_00001,Sony Compact Bluetooth Speaker,Electronics,Audio,Sony,5690.0,40,3414.0,3.6,99,113,40.3,Portable waterproof outdoor bluetooth speaker. Designed with premium quality materials by Sony.,"speaker,portable,waterproof,audio,bluetooth,sony,electronics,crimson red",18-35,All,Crimson Red,128GB,2026-05-26,https://images.unsplash.com/photo-1500000000001?auto=format&fit=crop&w=600&q=80,Active
PROD_00002,Samsung 4K Ultra HD Smart TV 55-inch - Rose Gold,Electronics,Television,Samsung,32560.0,40,19536.0,4.1,556,119,69.1,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Samsung.,"tv,smart tv,4k,ultra hd,television,display,samsung,electronics,rose gold",All Ages,All,Rose Gold,16GB RAM,2026-08-23,https://images.unsplash.com/photo-1500000000002?auto=format&fit=crop&w=600&q=80,Active
PROD_00003,Boat Smart Fitness Watch,Electronics,Wearables,Boat,34640.0,5,32908.0,3.6,252,29,49.7,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by Boat.,"smartwatch,fitness,heartrate,wearable,tracker,boat,electronics,silver",18-35,All,Silver,256GB,2025-09-11,https://images.unsplash.com/photo-1500000000003?auto=format&fit=crop&w=600&q=80,Active
PROD_00004,LG Smart Wi-Fi Security Camera - Midnight Black,Electronics,Smart Devices,LG,43820.0,30,30674.0,3.6,179,80,51.5,1080p full color night vision security camera with motion alert. Designed with premium quality materials by LG.,"security camera,cctv,smart home,wifi,lg,electronics,midnight black",Teens & Youth,All,Midnight Black,Standard,2024-12-04,https://images.unsplash.com/photo-1500000000004?auto=format&fit=crop&w=600&q=80,Active
PROD_00005,Samsung Digital Mirrorless Camera - Space Gray,Electronics,Cameras,Samsung,44350.0,15,37697.5,4.7,45,102,51.6,4K video recording with 24MP sensor and interchangeable lens. Designed with premium quality materials by Samsung.,"camera,photography,4k,video,lens,samsung,electronics,space gray",18-35,All,Space Gray,Default,2024-11-17,https://images.unsplash.com/photo-1500000000005?auto=format&fit=crop&w=600&q=80,Active
PROD_00006,JBL Digital Mirrorless Camera - Silver,Electronics,Cameras,JBL,31940.0,5,30343.0,4.4,45,48,51.1,4K video recording with 24MP sensor and interchangeable lens. Designed with premium quality materials by JBL.,"camera,photography,4k,video,lens,jbl,electronics,silver",18-35,All,Silver,256GB,2025-12-22,https://images.unsplash.com/photo-1500000000006?auto=format&fit=crop&w=600&q=80,Active
PROD_00007,Noise Smart Fitness Watch,Electronics,Wearables,Noise,15400.0,0,15400.0,3.8,25,13,47.1,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by Noise.,"smartwatch,fitness,heartrate,wearable,tracker,noise,electronics,olive green",Adults,All,Olive Green,256GB,2025-07-15,https://images.unsplash.com/photo-1500000000007?auto=format&fit=crop&w=600&q=80,Active
PROD_00008,Bose Noise Cancelling Wireless Earbuds,Electronics,Audio,Bose,23070.0,35,14995.5,3.7,377,40,54.5,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Bose.,"earbuds,tws,wireless,bluetooth,audio,anc,bose,electronics,navy blue",25-50,All,Navy Blue,16GB RAM,2025-02-01,https://images.unsplash.com/photo-1500000000008?auto=format&fit=crop&w=600&q=80,Active
PROD_00009,LG Action Camera 4K Waterproof,Electronics,Cameras,LG,10810.0,10,9729.0,4.2,180,28,56.8,Rugged 4K 60fps action cam with dual screens. Designed with premium quality materials by LG.,"action camera,waterproof,4k,sports,vlog,lg,electronics,classic beige",Adults,All,Classic Beige,512GB,2026-05-09,https://images.unsplash.com/photo-1500000000009?auto=format&fit=crop&w=600&q=80,Active
PROD_00010,JBL Smart Fitness Watch,Electronics,Wearables,JBL,27300.0,35,17745.0,4.2,236,146,60.0,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by JBL.,"smartwatch,fitness,heartrate,wearable,tracker,jbl,electronics,olive green",All Ages,All,Olive Green,16GB RAM,2026-08-18,https://images.unsplash.com/photo-1500000000010?auto=format&fit=crop&w=600&q=80,Active
PROD_00011,LG Compact Bluetooth Speaker - Silver,Electronics,Audio,LG,21070.0,20,16856.0,4.9,18,200,51.5,Portable waterproof outdoor bluetooth speaker. Designed with premium quality materials by LG.,"speaker,portable,waterproof,audio,bluetooth,lg,electronics,silver",25-50,All,Silver,Default,2026-05-13,https://images.unsplash.com/photo-1500000000011?auto=format&fit=crop&w=600&q=80,Active
PROD_00012,Samsung Noise Cancelling Wireless Earbuds - Pearl White,Electronics,Audio,Samsung,35300.0,40,21180.0,4.8,645,158,77.0,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Samsung.,"earbuds,tws,wireless,bluetooth,audio,anc,samsung,electronics,pearl white",18-35,All,Pearl White,256GB,2026-08-10,https://images.unsplash.com/photo-1500000000012?auto=format&fit=crop&w=600&q=80,Active
