Search_ID,Customer_ID,Search_Keyword,Search_Category,Search_Date,Result_Clicked,Product_Clicked
SRCH_000001,CUST_02405,ultrabooks,Laptops,2026-03-22 08:06:35,1,Lenovo Student Essential Laptop
SRCH_000002,CUST_00771,personal,Personal Care,2026-08-15 04:15:35,1,Gillette Cordless Rechargeable Beard Trimmer
SRCH_000003,CUST_02894,sports,Sports,2026-08-04 20:20:35,1,Nivia Quick Dry Athletic Training Shorts
SRCH_000004,CUST_01109,student laptops,Laptops,2026-03-20 17:29:35,1,Acer Ultra-Slim Metal Ultrabook - Space Gray
SRCH_000005,CUST_00373,student laptops,Laptops,2026-04-29 04:00:35,1,Lenovo Ultra-Slim Metal Ultrabook
SRCH_000006,CUST_02544,shaving & grooming,Personal Care,2026-05-11 17:13:35,1,Colgate Deep Cleansing Charcoal Body Wash 500ml - Charcoal
SRCH_000007,CUST_00145,bedding,Home,2026-05-08 05:30:35,1,D'Decor Velvet Touch Blackout Window Curtains - Pearl White
SRCH_000008,CUST_02220,accessories,Accessories,2026-03-18 17:59:35,1,Portronics Water-Resistant Laptop Backpack 15.6-inch - Space Gray
SRCH_000009,CUST_01043,student laptops,Laptops,2026-05-19 06:11:35,1,Acer Ultra-Slim Metal Ultrabook - Space Gray
SRCH_000010,CUST_02479,sports,Sports,2026-06-16 11:23:35,1,Yonex Anti-Burst Gym Exercise Ball with Pump - Olive Green
SRCH_000011,CUST_02989,lighting,Home,2026-06-03 00:55:35,1,Spaces 100% Cotton 300TC Double Bed Sheet - Classic Beige
SRCH_000012,CUST_02145,shaving & grooming,Personal Care,2026-05-16 15:02:35,1,Oral-B Cordless Rechargeable Beard Trimmer
SRCH_000013,CUST_01508,bags & backpacks,Accessories,2026-04-28 07:21:35,1,American Tourister Shockproof Clear Phone Case - Pearl White
SRCH_000014,CUST_01354,ultrabooks,Laptops,2026-07-08 00:09:35,1,Apple Business Productivity Notebook - Pearl White
SRCH_000015,CUST_01668,office,Furniture,2026-06-01 11:51:35,1,Wakefit Minimalist Nesting Coffee Tables - Charcoal
SRCH_000016,CUST_02368,outdoor sports,Sports,2026-06-14 15:40:35,1,Nivia Extra Thick Non-Slip Eco Yoga Mat - Pearl White
SRCH_000017,CUST_00884,wearables,Electronics,2026-03-17 08:56:35,1,Samsung Action Camera 4K Waterproof
SRCH_000018,CUST_02271,bags & backpacks,Accessories,2026-05-04 09:30:35,1,Spigen Shockproof Clear Phone Case - Charcoal
SRCH_000019,CUST_01908,laptops,Laptops,2026-05-09 08:56:35,1,Asus Pro Gaming Laptop RTX 4070 - Charcoal
SRCH_000020,CUST_00615,bath & body,Personal Care,2026-06-25 09:33:35,1,Gillette Sonic Electric Toothbrush with Timer
SRCH_000021,CUST_01261,accessories,Gaming,2026-05-23 15:53:35,1,PlayStation Next-Gen Home Gaming Console 1TB - Charcoal
SRCH_000022,CUST_01571,gaming,Gaming,2026-04-03 18:00:35,1,Logitech G Next-Gen Home Gaming Console 1TB - Silver
SRCH_000023,CUST_00638,electronics,Electronics,2026-08-24 06:26:35,1,Sony Digital Mirrorless Camera - Space Gray
SRCH_000024,CUST_02958,bags & backpacks,Accessories,2026-05-01 02:08:35,1,Logitech Multi-Port 7-in-1 USB-C Hub Adapter - Space Gray
SRCH_000025,CUST_02204,men's clothing,Fashion,2026-07-26 18:52:35,1,Zara Denim Trucker Jacket - Space Gray
SRCH_000026,CUST_00454,fitness equipment,Sports,2026-06-10 21:21:35,1,Nivia Extra Thick Non-Slip Eco Yoga Mat - Pearl White
SRCH_000027,CUST_00267,running shoes,Footwear,2026-07-21 09:42:35,1,Puma Genuine Leather Oxford Shoes
SRCH_000028,CUST_00711,fashion,Fashion,2026-06-19 13:16:35,1,Puma Solid Crew Neck Cotton T-Shirt
SRCH_000029,CUST_00043,accessories,Accessories,2026-04-24 15:32:35,1,Logitech Water-Resistant Laptop Backpack 15.6-inch - Crimson Red
SRCH_000030,CUST_00422,technology,Books,2026-08-11 18:50:35,1,Penguin Atomic Habits: Build Good Habits - Crimson Red
